1;LEITUNGSSTRANG;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_000_K;L0L;3775 (g);~;CU: 1495 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;21;V.30A..SC_F46_XB.J519.3_67_1;XB.J519.3;BCM_B;67;1-33G;N_105_118_01;-;XA.SC.1;SITR;46A;1-31H;N_907_327_01;-;N_037_043_1;-;-;492;RT/GE;2,5;V.30A..SC_F46;x;21;;;;
3;22;M.31..MB_K-M7_C1_XA.J519.3_14_1;XA.J519.3;BCM_A;14;1-33G;N_105_115_01;-;96;SP_31C7_1;1;1-36J;-;-;N_037_048_8;-;-;472;BR;2,5;M.31..MB_K-M7_C1;x;22;;;;
3;23;M.31..MB_K-M9_A1_B159_1_2;B159;SP_31BA2;1;1-35D;-;-;XA.U31.1;DIAG;4;1-31H;N_907_479_01;-;N_037_098_8;-;-;750;BR;0,35;M.31..MB_K-M9_A1;x;23;;;;
3;24;M.31..MB_K-M9_A1_B159_1_1;B159;SP_31BA2;1;1-35D;-;-;XA.U31.1;DIAG;5;1-31H;N_907_479_01;-;N_037_098_8;-;-;750;BR;0,35;M.31..MB_K-M9_A1;x;24;;;;
3;25;M.31..MB_K-M7_E1_XE.44.1_1_1;XE.44.1;MB_7_5;1;1-39H;N_017_516_5;-;L78;SP_31_LIN_K;1;1-38G;-;-;N_037_048_8;-;-;1107;BR;2,5;M.31..MB_K-M7_E1;x;25;;;;
3;26;M.31..MB_K-M7_B1_XB.44.1_1_1;XB.44.1;MB_7_2;1;1-40H;N_017_506_3;-;XB.J519.3;BCM_B;60;1-33G;N_907_649_01;-;N_037_008_8;-;-;999;BR;0,5;M.31..MB_K-M7_B1;x;26;;;;
3;27;V.RFL.._U14_1_1;U14;SP_RFL;1;1-35C;-;-;XB.J519.3;BCM_B;12;1-33G;N_105_114_01;-;N_037_009_5;-;-;1022;SW/BL;0,5;V.RFL..;x;27;;;;
3;28;V.15A..SC_F05_Z40_1_2;Z40;SP_15A_GRA;1;1-39F;-;-;XA.J519.3;BCM_A;44;1-33G;N_907_647_01;-;N_037_099_5;-;-;621;SW/BL;0,35;V.15A..SC_F05;x;28;;;;
3;29;V.30A..SC_F50_XB.J519.3_11_1;XB.J519.3;BCM_B;11;1-33G;N_105_115_01;-;XA.SC.1;SITR;50A;1-31H;N_907_327_01;-;N_037_033_0;-;-;492;RT/WS;1,5;V.30A..SC_F50;x;29;;;;
3;30;V.30A..SA_D1_P3_1_5;P3;SP_30_04;1;1-32H;-;-;XA.SC.1;SITR;50B;1-31H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;30;;;;
3;31;M.31..MB_K-M7_C1_TTVL.1A1_24_1;TTVL.1A1;KS_TVL;24;1-35J;N_103_190_01;-;96;SP_31C7_1;1;1-36J;-;-;N_037_048_8;-;-;190;BR;2,5;M.31..MB_K-M7_C1;x;31;;;;
3;32;M.31..MB_K-M9_A1_TTVR.1A1_24_1;TTVR.1A1;KS_TVR;24;1-35A;N_103_190_01;-;B445;SP_31BA1;1;1-42A;-;-;N_037_048_8;-;-;416;BR;2,5;M.31..MB_K-M9_A1;x;32;;;;
3;33;S.KMM..SYS090_XA.G32.3_1_1;XA.G32.3;KAB;1;1-9J;N_906_844_02;357_972_741;XA.K.1;KI;18;1-37H;N_907_649_01;-;N_037_005_3;-;-;2140;BL/RT;0,5;S.KMM..SYS090;x;33;;;;
3;34;S.HB-Sig..SYS090_XA.F321.1_1_1;XA.F321.1;HBKS;1;1-43F;N_103_357_01;-;XA.K.1;KI;25;1-37H;N_907_647_01;-;N_037_095_9;-;-;2082;BL/SW;0,35;S.HB-Sig..SYS090;x;34;;;;
3;35;M.31..MB_K-M7_A1_190_1_1;190;SP_31A7_4;1;1-37D;-;-;XA.F321.1;HBKS;2;1-43F;N_103_358_01;-;N_037_008_8;-;-;1189;BR;0,5;M.31..MB_K-M7_A1;x;35;;;;
3;36;M.31..MB_K-M7_C1_XA.J1125.1_2_1;XA.J1125.1;R_KL75;2;1-34H;N_105_116_01;-;136;SP_31C7_2;1;1-35F;-;-;N_037_098_8;-;-;377;BR;0,35;M.31..MB_K-M7_C1;x;36;;;;
3;37;V.50.._B3_1_1;B3;SP_50;1;1-33G;-;-;XB.J519.3;BCM_B;50;1-33G;N_907_649_01;-;N_037_013_9;-;-;85;RT/SW;0,75;V.50..;x;37;;;;
3;38;S.ZSS.._XA.N334.1_2_1;XA.N334.1;SPST;2;1-41F;N_907_649_01;-;A109;SP_P_E;1;1-34G;-;-;N_037_007_5;-;-;748;GR/BL;0,5;S.ZSS..;x;38;;;;
3;39;V.30A..SD_F03_XA.N334.1_1_1;XA.N334.1;SPST;1;1-41F;N_907_649_01;-;XA.SD.1;SITR_3;3A;1-37E;N_907_326_01;-;N_037_003_5;-;-;719;RT/BL;0,5;V.30A..SD_F03;x;39;;;;
3;40;M.31-SM.._A73_1_1;A73;SP_31_SM;1;1-36G;-;-;XA.G17.1;ATF;1;1-11D;N_105_112_03;357_972_740_E;N_037_008_0;-;-;2015;BR/WS;0,5;M.31-SM..;x;40;;;;
3;41;S.ATS..SYS090_XA.G17.1_2_1;XA.G17.1;ATF;2;1-11D;N_105_112_03;357_972_740_E;XA.K.1;KI;19;1-37H;N_907_649_01;-;N_037_008_1;-;-;2416;BR/GE;0,5;S.ATS..SYS090;x;41;;;;
3;42;V.30A..SA_D1_P1_1_3;P1;SP_30_02;1;1-33H;-;-;XA.SD.1;SITR_3;2;1-37E;N_907_327_01;-;N_037_043_3;-;-;525;RT;2,5;V.30A..SA_D1;x;42;;;;
3;43;V.30A..SA_D1_P1_1_1;P1;SP_30_02;1;1-33H;-;-;XA.SD.1;SITR_3;3;1-37E;N_907_327_01;-;N_037_043_3;-;-;525;RT;2,5;V.30A..SA_D1;x;43;;;;
3;44;M.31..MB_K-M7_A1_192_1_4;192;SP_31A7_1;1;1-37H;-;-;XA.44.1;MB_7_1;1;1-40H;N_017_526_2;-;N_037_058_8;-;-;297;BR;4;M.31..MB_K-M7_A1;x;44;;;;
3;45;M.31..MB_K-M7_A1_192_1_3;192;SP_31A7_1;1;1-37H;-;-;191;SP_31A7_2;1;1-35E;-;-;N_037_038_8;-;-;777;BR;1,5;M.31..MB_K-M7_A1;x;45;;;;
3;46;M.31..MB_K-M7_A1_192_1_2;192;SP_31A7_1;1;1-37H;-;-;190;SP_31A7_4;1;1-37D;-;-;N_037_048_8;-;-;1012;BR;2,5;M.31..MB_K-M7_A1;x;46;;;;
3;47;V.30A..SA_D1_XD.SA.4_1_1;XD.SA.4;HSB_D1;1;1-21H;N_907_619_01;-;A32;SP_30_21;1;1-30F;-;-;N_903_231_02;-;-;871;RT;16;V.30A..SA_D1;x;47;;;;
3;48;V.30A..SA_D1_XA.J1125.1_3_1;XA.J1125.1;R_KL75;3;1-34H;N_907_572_01;-;P2;SP_30_11;1;1-35F;-;-;N_037_063_3;-;-;210;RT;6;V.30A..SA_D1;x;48;;;;
3;49;M.31-SM.._A73_1_2;A73;SP_31_SM;1;1-36G;-;-;XA.G32.3;KAB;2;1-9J;N_906_844_02;357_972_741;N_037_008_0;-;-;1739;BR/WS;0,5;M.31-SM..;x;49;;;;
3;50;M.31-SM.._A73_1_3;A73;SP_31_SM;1;1-36G;-;-;XA.K.1;KI;20;1-37H;N_907_647_01;-;N_037_098_0;-;-;422;BR/WS;0,35;M.31-SM..;x;50;;;;
3;51;M.31..MB_K-M9_A1_XA.43.1_1_1;XA.43.1;MB_9_1;1;1-43A;N_017_526_2;-;B445;SP_31BA1;1;1-42A;-;-;N_037_058_8;-;-;280;BR;4;M.31..MB_K-M9_A1;x;51;;;;
3;52;M.31..MB_K-M9_A1_B445_1_1;B445;SP_31BA1;1;1-42A;-;-;B159;SP_31BA2;1;1-35D;-;-;N_037_038_8;-;-;1156;BR;1,5;M.31..MB_K-M9_A1;x;52;;;;
3;53;M.31..MB_K-M7_D1_A102_1_1;A102;SP_31D7_1;1;1-34G;-;-;XA.J519.3;BCM_A;70;1-33G;N_105_115_01;-;N_037_048_8;-;-;133;BR;2,5;M.31..MB_K-M7_D1;x;53;;;;
3;54;M.31..MB_K-M12_A1_260_1_1;260;SP_31H;1;1-56H;-;-;XA.729.1;MB_12_1;1;1-54H;N_017_516_5;-;N_037_048_8;-;-;406;BR;2,5;M.31..MB_K-M12_A1;x;54;;;;
3;55;X.NONE..HW_SYS055_B183_1_1;B183;SP_WW;1;1-37F;-;-;XA.V59.1;WWP;2;1-9F;N_105_114_03;357_972_741;N_037_016_0;-;-;1884;GN/WS;0,75;X.NONE..HW_SYS055;x;55;;;;
3;56;V.74..J680_A5_XA.J1125.1_5_1;XA.J1125.1;R_KL75;5;1-34H;N_907_572_01;-;A145;SP_75_2;1;1-36G;-;-;N_037_069_1;-;-;315;SW/GE;6;V.74..J680_A5;x;56;;;;
3;57;S.53c..SC_F25_XA.V59.1_1_1;XA.V59.1;WWP;1;1-9F;N_105_114_03;357_972_741;XA.SC.1;SITR;25A;1-31H;N_906_844_01;-;N_037_005_1;-;-;2087;BL/GE;0,5;S.53c..SC_F25;x;57;;;;
3;58;S.53c..LSS_B184_1_2;B184;SP_LSSW;1;1-36H;-;-;XA.SC.1;SITR;25B;1-31H;N_906_844_01;-;N_037_016_3;-;-;488;GN/RT;0,75;S.53c..LSS;x;58;;;;
3;59;V.15A..SC_F02_XA.U31.1_1_1;XA.U31.1;DIAG;1;1-31H;N_907_479_01;-;B444;SP_15A_VK;1;1-35E;-;-;N_037_009_5;-;-;669;SW/BL;0,5;V.15A..SC_F02;x;59;;;;
