1;LEITUNGSSTRANG;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_000_K;L0L;3775 (g);~;CU: 1495 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;109;V.30A..SC_F41_XA.J519.3_16_1;XA.J519.3;BCM_A;16;1-33G;N_105_115_01;-;XA.SC.1;SITR;41A;1-31H;N_907_327_01;-;N_037_033_3;-;-;435;RT;1,5;V.30A..SC_F41;x;109;;;;
3;110;V.30A..SA_D1_P3_1_1;P3;SP_30_04;1;1-32H;-;-;XA.SC.1;SITR;41B;1-31H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;110;;;;
3;111;V.30A..SD_F10_XA.J519.3_63_1;XA.J519.3;BCM_A;63;1-33G;N_105_117_01;-;XA.SD.1;SITR_3;10A;1-37E;N_907_326_01;-;N_037_011_3;-;-;563;GE/RT;0,75;V.30A..SD_F10;x;111;;;;
3;113;V.15A..SC_F20_XC.E595.3_4_1;XC.E595.3;LSS_C;4;1-40F;N_907_647_01;-;L49;SP_15A_ESP;1;1-39G;-;-;N_037_095_7;-;-;974;BL/GR;0,35;V.15A..SC_F20;x;113;;;;
3;129;M.31..MB_K-M7_A1_XA.K.1_16_1;XA.K.1;KI;16;1-37H;N_907_647_01;-;191;SP_31A7_2;1;1-35E;-;-;N_037_098_8;-;-;677;BR;0,35;M.31..MB_K-M7_A1;x;129;;;;
3;130;M.31..MB_K-M7_D1_A102_1_2;A102;SP_31D7_1;1;1-34G;-;-;XD.44.1;MB_7_4;1;1-39H;N_017_526_2;-;N_037_058_8;-;-;920;BR;4;M.31..MB_K-M7_D1;x;130;;;;
3;132;S.ZVFS..SYS055_TTVL.1A1_20_1;TTVL.1A1;KS_TVL;20;1-35J;N_103_360_01;-;XA.J519.3;BCM_A;24;1-33G;N_907_647_01;-;N_037_097_9;-;-;642;GR/SW;0,35;S.ZVFS..SYS055;x;132;;;;
3;133;M.31..MB_K-M3_A1_119_1_1;119;SP_31JA_S;1;1-21C;-;-;XA.13.1;MB_3_1;1;1-19A;6Q0_971_859_C;-;N_037_048_8;-;-;590;BR;2,5;M.31..MB_K-M3_A1;x;133;;;;
3;142;D.CANHA.._XB.J519.3_19_1;XB.J519.3;BCM_B;19;1-33G;N_907_647_01;-;E123;SP_CANHA1;1;1-38G;-;-;N_901_916_03;SL1;1-or/sw;457;OR/SW;0,35;D.CANHA..;x;142;;;;
3;143;D.CANLA.._XB.J519.3_18_1;XB.J519.3;BCM_B;18;1-33G;N_907_647_01;-;E124;SP_CANLA2;1;1-37G;-;-;N_901_916_03;SL1;2-or/br;412;OR/BR;0,35;D.CANLA..;x;143;;;;
3;144M;D.CAN_HD..SYS055_XB.J519.3_23_1;XB.J519.3;BCM_B;23;1-33G;N_907_647_01;-;B713;SP_CANHD;1;1-35D;-;-;N_901_916_18;SL2;1-or/rt;695;OR/RT;0,35;D.CAN_HD..SYS055;x;144M;;;;
3;144N;D.CAN_HD..SYS055_B713_1_1;B713;SP_CANHD;1;1-35D;-;-;XA.U31.1;DIAG;6;1-31H;N_907_479_01;-;N_901_916_18;SL3;1-or/rt;812;OR/RT;0,35;D.CAN_HD..SYS055;x;144N;;;;
3;145M;D.CAN_LD..SYS055_XB.J519.3_22_1;XB.J519.3;BCM_B;22;1-33G;N_907_647_01;-;B714;SP_CANLD;1;1-35D;-;-;N_901_916_18;SL2;2-or/br;673;OR/BR;0,35;D.CAN_LD..SYS055;x;145M;;;;
3;145N;D.CAN_LD..SYS055_B714_1_1;B714;SP_CANLD;1;1-35D;-;-;XA.U31.1;DIAG;14;1-31H;N_907_479_01;-;N_901_916_18;SL3;2-or/br;790;OR/BR;0,35;D.CAN_LD..SYS055;x;145N;;;;
3;148;M.31..MB_K-M7_D1_A102_1_3;A102;SP_31D7_1;1;1-34G;-;-;XA.J400.1;FWM;4;1-23H;N_105_115_03;357_972_741_B;N_901_963_07;SL4;1-br;679;BR;2,5;M.31..MB_K-M7_D1;x;148;;;;
3;149;V.53..SYS055.1_XA.J519.3_69_1;XA.J519.3;BCM_A;69;1-33G;N_105_115_01;-;XA.J400.1;FWM;2;1-23H;N_105_115_03;357_972_741_B;N_901_963_07;SL4;2-ws;791;WS;2,5;V.53..SYS055.1;x;149;;;;
3;150;D.CANHKOMBI.._XA.K.1_28_1;XA.K.1;KI;28;1-37H;N_907_647_01;-;A225;SP_CANHKOM;1;1-37H;-;-;N_901_916_19;SL5;1-or/bl;80;OR/BL;0,35;D.CANHKOMBI..;x;150;;;;
3;151;D.CANLKOMBI.._XA.K.1_29_1;XA.K.1;KI;29;1-37H;N_907_647_01;-;A226;SP_CANLKOM;1;1-37H;-;-;N_901_916_19;SL5;2-or/br;129;OR/BR;0,35;D.CANLKOMBI..;x;151;;;;
3;152;D.CANHKOMBI.._A225_1_1;A225;SP_CANHKOM;1;1-37H;-;-;XB.J519.3;BCM_B;54;1-33G;N_907_647_01;-;N_901_916_19;SL6;1-or/bl;701;OR/BL;0,35;D.CANHKOMBI..;x;152;;;;
3;153;D.CANLKOMBI.._A226_1_1;A226;SP_CANLKOM;1;1-37H;-;-;XB.J519.3;BCM_B;57;1-33G;N_907_647_01;-;N_901_916_19;SL6;2-or/br;650;OR/BR;0,35;D.CANLKOMBI..;x;153;;;;
3;154;X.WFS_TR_RX..SYS090_XA.D2.1_1_1;XA.D2.1;TRANS;1;1-42F;N_907_647_03;-;XA.K.1;KI;7;1-37H;N_907_647_01;-;N_901_916_43;SL7;1-gn;1134;GN;0,35;X.WFS_TR_RX..SYS090;x;154;;;;
3;155;X.WFS_TR_TX..SYS090_XA.D2.1_2_1;XA.D2.1;TRANS;2;1-42F;N_907_647_03;-;XA.K.1;KI;8;1-37H;N_907_647_01;-;N_901_916_43;SL7;2-sw;1134;SW;0,35;X.WFS_TR_TX..SYS090;x;155;;;;
3;169;ID_WIR258;XB.729.1;MB_12_2;1;1-54H;N_017_516_5;-;ID_CON30;KS_HKL2_1;1;1-56D;N_103_192_01;-;N_037_048_8;-;-;1191;BR;2,5;M.31..MB_K-M7_B1;x;169;;;;
3;170;ID_WIR260;ID_CON30;KS_HKL2_1;3;1-56D;N_103_361_01;-;XA.J519.3;BCM_A;23;1-33G;N_907_649_01;-;N_037_004_7;-;-;4099;VI/GR;0,5;S.HK..SYS055;x;170;;;;
3;171;ID_WIR262;ID_CON30;KS_HKL2_1;5;1-56D;N_103_361_01;-;XA.J519.3;BCM_A;10;1-33G;N_105_112_01;-;N_037_023_5;-;-;4099;RT/BL;1;S.HKM..SYS055;x;171;;;;
3;172;ID_WIR264;ID_CON31;KS_HKL1_1;2;1-57D;N_103_361_01;-;B184;SP_LSSW;1;1-36H;-;-;N_037_016_3;-;-;3848;GN/RT;0,75;S.53c..LSS;x;172;;;;
3;173;ID_WIR266;ID_CON31;KS_HKL1_1;3;1-57D;N_103_361_01;-;B183;SP_WW;1;1-37F;-;-;N_037_016_0;-;-;4159;GN/WS;0,75;X.NONE..HW_SYS055;x;173;;;;
3;174;ID_WIR268;ID_CON31;KS_HKL1_1;4;1-57D;N_103_361_01;-;XA.SC.1;SITR;14A;1-31H;N_906_844_01;-;N_037_029_0;-;-;4233;SW/WS;1;V.74..SC_F14;x;174;;;;
3;175;ID_WIR270;ID_CON31;KS_HKL1_1;5;1-57D;N_103_361_01;-;XA.J519.3;BCM_A;30;1-33G;N_907_649_01;-;N_037_008_5;-;-;4114;BR/BL;0,5;S.HkAH..SYS055;x;175;;;;
3;176;ID_WIR272;ID_CON31;KS_HKL1_1;1;1-57D;N_103_192_01;-;XB.J519.3;BCM_B;63;1-33G;N_105_118_01;-;N_037_049_3;-;-;4171;SW/RT;2,5;X.HSH_30a..SYS055;x;176;;;;
3;178;ID_WIR274;ID_TER166;WLH_HW_1;1;1-56F;-;-;ID_TER167;MLH_DWP_1;1;1-10G;-;-;ZSB_KT_WL_H;-;-;5366;SW;6;O.WWL_H..;x;178;;;;
1;LTGS.ABS;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_005_M;L0L+7W0;973 (g);;CU: 319 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;5001;M.31..MB_K-M5_B1_XA.J981.1_13_1;XA.J981.1;ESP_CU;13;1-16C;N_105_119_02;357_972_742_E;XB.672.1;MB_5_2;1;1-15E;6Q0_971_859;-;N_037_058_8;-;-;355;BR;4;M.31..MB_K-M5_B1;x;5001;;;;
3;5002;V.15A..SC_F20_XA.J981.1_28_1;XA.J981.1;ESP_CU;28;1-16C;N_105_112_03;357_972_740_E;L49;SP_15A_ESP;1;1-39G;-;-;N_037_005_7;-;-;1611;BL/GR;0,5;V.15A..SC_F20;x;5002;;;;
3;5003;M.31..MB_K-M5_A1_XA.J981.1_38_1;XA.J981.1;ESP_CU;38;1-16C;N_105_115_03;357_972_741_B;XA.672.1;MB_5_1;1;1-15E;6Q0_971_859_C;-;N_037_048_8;-;-;335;BR;2,5;M.31..MB_K-M5_A1;x;5003;;;;
3;5004;V.30A..SA_F1_B539_1_2;B539;SP_LOOP;1;1-22C;-;-;XF.SA.4;HSB_F1;1;1-21G;N_911_816_01;-;N_057_943_6;-;-;1335;RT/GN;2,5;V.30A..SA_F1;x;5004;;;;
3;5005;V.30A..SA_J4_XA.J981.1_27_1;XA.J981.1;ESP_CU;27;1-16C;N_105_112_03;357_972_740_F;XJ.SA.4;HSB;4;1-20G;N_907_326_02;357_972_742;N_037_023_6;-;-;909;RT/GN;1;V.30A..SA_J4;x;5005;;;;
3;5006;V.30A..SA_J1_XA.J981.1_25_1;XA.J981.1;ESP_CU;25;1-16C;N_105_115_03;357_972_741_B;XJ.SA.4;HSB;1;1-20G;N_907_327_02;357_972_742_B;N_037_043_6;-;-;909;RT/GN;2,5;V.30A..SA_J1;x;5006;;;;
3;5009;V.15..ZAS_E1_A192_1_3;A192;SP_15_07;1;1-39F;-;-;XA.SC.1;SITR;20B;1-31H;N_906_845_01;-;N_037_039_9;-;-;664;SW;1,5;V.15..ZAS_E1;x;5009;;;;
3;5010;V.15A..SC_F20_XA.SC.1_20A_1;XA.SC.1;SITR;20A;1-31H;N_906_843_01;-;L49;SP_15A_ESP;1;1-39G;-;-;N_037_095_7;-;-;641;BL/GR;0,35;V.15A..SC_F20;x;5010;;;;
3;5011;V.30A..SA_F1_B539_1_1;B539;SP_LOOP;1;1-22C;-;-;XA.J981.1;ESP_CU;1;1-16C;N_105_118_02;357_972_742_B;N_057_943_6;-;-;1734;RT/GN;2,5;V.30A..SA_F1;x;5011;;;;
3;5012;D.CANHA.._E123_1_1;E123;SP_CANHA1;1;1-38G;-;-;XA.J981.1;ESP_CU;9;1-16C;N_105_111_03;357_972_740_E;N_901_916_03;SL5001;1-or/sw;1489;OR/SW;0,35;D.CANHA..;x;5012;;;;
3;5013;D.CANLA.._E124_1_1;E124;SP_CANLA2;1;1-37G;-;-;XA.J981.1;ESP_CU;8;1-16C;N_105_111_03;357_972_740_E;N_901_916_03;SL5001;2-or/br;1445;OR/BR;0,35;D.CANLA..;x;5013;;;;
3;5014;S.RDZhl..-SYS047_B513_1_1;B513;SP_ABS_HL2;1;1-53H;-;-;XA.G46.1;DZS_HL;2;1-53G;-;-;ZSB_KT_HL1;SL5002;1-gn;908;GN;0,5;S.RDZhl..-SYS047;x;5014;;;;
3;5015;S.RDZhl..+SYS047_B512_1_1;B512;SP_ABS_HL1;1;1-52H;-;-;XA.G46.1;DZS_HL;1;1-53G;-;-;ZSB_KT_HL1;SL5002;2-sw;959;SW;0,5;S.RDZhl..+SYS047;x;5015;;;;
3;5016;S.RDZhr..-SYS047_B511_1_2;B511;SP_ABS_HR2;1;1-54A;-;-;XA.G44.1;DZS_HR;2;1-55C;-;-;ZSB_KT_HR1;SL5003;1-gn;906;GN;0,5;S.RDZhr..-SYS047;x;5016;;;;
3;5017;S.RDZhr..+SYS047_B510_1_2;B510;SP_ABS_HR1;1;1-53A;-;-;XA.G44.1;DZS_HR;1;1-55C;-;-;ZSB_KT_HR1;SL5003;2-sw;956;SW;0,5;S.RDZhr..+SYS047;x;5017;;;;
3;5018;S.RDZvl..+SYS047_XA.G47.1_2_1;XA.G47.1;DZS_VL;2;1-13E;-;-;XA.J981.1;ESP_CU;35;1-16C;-;-;ZSB_KT_VL1;SL5004;1-br;939;BR;0,5;S.RDZvl..+SYS047;x;5018;;;;
3;5019;S.RDZvl..-SYS047_XA.G47.1_1_1;XA.G47.1;DZS_VL;1;1-13E;-;-;XA.J981.1;ESP_CU;36;1-16C;-;-;ZSB_KT_VL1;SL5004;2-sw;939;SW;0,5;S.RDZvl..-SYS047;x;5019;;;;
3;5020;S.RDZhr..-SYS047_B511_1_1;B511;SP_ABS_HR2;1;1-54A;-;-;XA.J981.1;ESP_CU;4;1-16C;N_105_112_03;357_972_740_E;N_018_886_72;SL5005;1-gn;4906;GN;0,5;S.RDZhr..-SYS047;x;5020;;;;
3;5021;S.RDZhr..+SYS047_B510_1_1;B510;SP_ABS_HR1;1;1-53A;-;-;XA.J981.1;ESP_CU;3;1-16C;N_105_112_03;357_972_740_E;N_018_886_72;SL5005;2-sw;4856;SW;0,5;S.RDZhr..+SYS047;x;5021;;;;
3;5022;S.RDZhl..+SYS047_B512_1_2;B512;SP_ABS_HL1;1;1-52H;-;-;XA.J981.1;ESP_CU;29;1-16C;N_105_112_03;357_972_740_E;N_018_886_80;SL5006;2-sw;4037;SW;0,5;S.RDZhl..+SYS047;x;5022;;;;
3;5023;S.RDZhl..-SYS047_B513_1_2;B513;SP_ABS_HL2;1;1-53H;-;-;XA.J981.1;ESP_CU;30;1-16C;N_105_112_03;357_972_740_E;N_018_886_80;SL5006;1-br;4088;BR;0,5;S.RDZhl..-SYS047;x;5023;;;;
3;5026;S.RDZvr..+SYS047_XA.G45.1_2_1;XA.G45.1;DZS_VR1;2;1-27C;-;-;XA.J981.1;ESP_CU;10;1-16C;-;-;ZSB_KT_VR2;SL5008;1-gn;2847;GN;0,5;S.RDZvr..+SYS047;x;5026;;;;
3;5027;S.RDZvr..-SYS047_XA.G45.1_1_1;XA.G45.1;DZS_VR1;1;1-27C;-;-;XA.J981.1;ESP_CU;11;1-16C;-;-;ZSB_KT_VR2;SL5008;2-sw;2847;SW;0,5;S.RDZvr..-SYS047;x;5027;;;;
1;LTGS.AUSSENSPIEGEL;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_010_D;L0L+6XD;86 (g);;CU: 49 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
2;V2;12E_970_010_F;L0L+6XB;29 (g);;CU: 9 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;V2;Ltg-Nr.;;;
3;10001;X.NONE..SYS095.1_TTVR.1A1_4_1;TTVR.1A1;KS_TVR;4;1-35A;N_103_360_01;-;TTVL.1A1;KS_TVL;4;1-35J;N_103_360_01;-;N_037_099_3;-;-;1871;SW/RT;0,35;X.NONE..SYS095.1;x;-;10001;;;
3;10002;X.NONE..SYS095_TTVR.1A1_6_1;TTVR.1A1;KS_TVR;6;1-35A;N_103_360_01;-;TTVL.1A1;KS_TVL;6;1-35J;N_103_360_01;-;N_037_099_1;-;-;1871;SW/GE;0,35;X.NONE..SYS095;x;-;10002;;;
3;10003;X.NONE..SYS095.2_TTVR.1A1_7_1;TTVR.1A1;KS_TVR;7;1-35A;N_103_360_01;-;TTVL.1A1;KS_TVL;7;1-35J;N_103_360_01;-;N_037_090_5;-;-;1871;WS/BL;0,35;X.NONE..SYS095.2;x;-;10003;;;
3;10004;V.SpHzg.._TTVR.1A1_9_1;TTVR.1A1;KS_TVR;9;1-35A;N_103_360_01;-;A63;SP_SPHZG;1;1-37H;-;-;N_037_099_5;-;-;1876;SW/BL;0,35;V.SpHzg..;x;-;10004;;;
3;10005;V.SpHzg.._TTVL.1A1_9_1;TTVL.1A1;KS_TVL;9;1-35J;N_103_360_01;-;A63;SP_SPHZG;1;1-37H;-;-;N_037_099_5;-;-;425;SW/BL;0,35;V.SpHzg..;x;-;10005;;;
3;10006;V.SpHzg.._A63_1_1;A63;SP_SPHZG;1;1-37H;-;-;XA.J519.3;BCM_A;38;1-33G;N_105_113_01;-;N_037_099_5;-;-;647;SW/BL;0,35;V.SpHzg..;x;-;10006;;;
3;10007;V.30A..SA_D1_P3_1_7;P3;SP_30_04;1;1-32H;-;-;XA.SC.1;SITR;30B;1-31H;N_906_845_01;-;N_037_033_9;-;-;134;RT/SW;1,5;V.30A..SA_D1;x;-;10007;;;
3;10008;V.30A..SC_F30_XA.J519.3_64_1;XA.J519.3;BCM_A;64;1-33G;N_105_113_01;-;XA.SC.1;SITR;30A;1-31H;N_906_843_01;-;N_037_099_3;-;-;435;SW/RT;0,35;V.30A..SC_F30;x;-;10008;;;
3;10009;S.49VL.._TTVL.1A1_3_1;TTVL.1A1;KS_TVL;3;1-35J;N_103_361_01;-;A6;SP_BLLI;1;1-34G;-;-;N_037_009_0;-;-;636;SW/WS;0,5;S.49VL..;x;x;10009;;;
3;10010;S.49VR.._A5_1_1;A5;SP_BLR;1;1-35F;-;-;TTVR.1A1;KS_TVR;3;1-35A;N_103_361_01;-;N_037_009_6;-;-;1168;SW/GN;0,5;S.49VR..;x;x;10010;;;
3;10011;V.15A..SC_F06_TTVL.1A1_5_1;TTVL.1A1;KS_TVL;5;1-35J;N_103_360_01;-;N1;SP_LWR2;1;1-36F;-;-;N_037_091_1;-;-;731;GE;0,35;V.15A..SC_F06;x;-;10011;;;
3;10012;X.SLSH.._TTVL.1A1_8_1;TTVL.1A1;KS_TVL;8;1-35J;N_103_360_01;-;XB.J519.3;BCM_B;58;1-33G;N_907_647_01;-;N_037_099_6;-;-;699;SW/GN;0,35;X.SLSH..;x;-;10012;;;
1;LTGS.GRA;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_011_B;L0L+8T2;64 (g);;CU: 22 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;11001;S.GRAEA.._B683_1_3;B683;SP_GRA;1;1-38F;-;-;XB.J519.3;BCM_B;45;1-33G;N_907_647_01;-;N_037_090_0;-;-;487;WS;0,35;S.GRAEA..;x;11001;;;;
3;11002;S.GRAAS..SYS055_XA.E595.3_3_1;XA.E595.3;LSS_A;3;1-41F;N_907_647_01;-;XB.J519.3;BCM_B;47;1-33G;N_907_647_01;-;N_037_095_9;-;-;882;BL/SW;0,35;S.GRAAS..SYS055;x;11002;;;;
3;11003;S.GRAEA.._B683_1_2;B683;SP_GRA;1;1-38F;-;-;XA.E595.3;LSS_A;2;1-41F;N_907_647_01;-;N_037_090_0;-;-;415;WS;0,35;S.GRAEA..;x;11003;;;;
3;11004;S.GRAEA.._B683_1_1;B683;SP_GRA;1;1-38F;-;-;XA.E595.3;LSS_A;4;1-41F;N_907_647_01;-;N_037_090_0;-;-;415;WS;0,35;S.GRAEA..;x;11004;;;;
3;11005;V.15A..SC_F05_XA.E595.3_1_1;XA.E595.3;LSS_A;1;1-41F;N_907_647_01;-;Z40;SP_15A_GRA;1;1-39F;-;-;N_037_099_5;-;-;225;SW/BL;0,35;V.15A..SC_F05;x;11005;;;;
3;11006;S.GRAR..SYS055_XA.E595.3_5_1;XA.E595.3;LSS_A;5;1-41F;N_907_647_01;-;XB.J519.3;BCM_B;46;1-33G;N_907_647_01;-;N_037_095_4;-;-;882;BL/VI;0,35;S.GRAR..SYS055;x;11006;;;;
3;11007;S.GRAS..SYS055_XA.E595.3_6_1;XA.E595.3;LSS_A;6;1-41F;N_907_647_01;-;XB.J519.3;BCM_B;44;1-33G;N_907_647_01;-;N_037_095_1;-;-;882;BL/GE;0,35;S.GRAS..SYS055;x;11007;;;;
3;11008;S.GRAEA.._B683_1_4;B683;SP_GRA;1;1-38F;-;-;XB.J623.36;SGMB_E;56;1-9G;N_105_469_01;BLOC_SEAL_063_FLR;N_037_090_0;-;-;1842;WS;0,35;S.GRAEA..;x;11008;;;;
1;LTGS.AIRBAG;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_012_AB;L0L+4UF;1118 (g);;CU: 590 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;12001;V.15A..SC_F09_T4_1_1;T4;SP_15A_AIR;1;1-41D;-;-;XA.SC.1;SITR;9A;1-31H;N_906_843_01;-;N_037_099_5;-;-;1193;SW/BL;0,35;V.15A..SC_F09;x;12001;;;;
3;12005;V.15..ZAS_E1_A38_1_4;A38;SP_15_05;1;1-39F;-;-;XA.SC.1;SITR;9B;1-31H;N_906_845_01;-;N_037_039_9;-;-;694;SW;1,5;V.15..ZAS_E1;x;12005;;;;
3;12006;S.BAG_SBRBF..SYS1S1.1_XA.G128.9_2_1;XA.G128.9;KS_SBE_VR;2;1-46B;N_103_361_03;-;XA.E25.9;KS_GS_VR;1;1-46C;N_103_361_03;-;N_037_008_5;-;-;180;BR/BL;0,5;S.BAG_SBRBF..SYS1S1.1;x;12006;;;;
3;12010;M.31-SM..SYS1S1.1_109_1_4;109;SP_GND_A;1;1-41D;-;-;XA.E224.7;S_AIR;3;1-36A;N_105_112_02;-;N_037_008_8;-;-;1400;BR;0,5;M.31-SM..SYS1S1.1;x;12010;;;;
3;12011;M.31-SM..SYS1S1_TSABVL.1C1_3_1;TSABVL.1C1;KS_SA_VL;3;1-44H;N_105_982_01;-;312;SP_31_SA;1;1-39D;-;-;N_037_008_4;-;-;2410;BR/VI;0,5;M.31-SM..SYS1S1;x;12011;;;;
3;12012;M.31-SM..SYS1S1_TSABVR.1C1_3_1;TSABVR.1C1;KS_SA_VR;3;1-46B;N_105_982_01;-;312;SP_31_SA;1;1-39D;-;-;N_037_008_8;-;-;2605;BR;0,5;M.31-SM..SYS1S1;x;12012;;;;
3;12086;ID_WIR172;ID_CON9;AIR_CU_E_1;1;1-41C;N_909_424_02;3B0_972_742_D;T4;SP_15A_AIR;1;1-41D;-;-;N_037_099_5;-;-;239;SW/BL;0,35;V.15A..SC_F09;x;12086;;;;
3;12087;ID_WIR174;ID_CON9;AIR_CU_E_1;2;1-41C;N_909_424_02;3B0_972_742_D;T4;SP_15A_AIR;1;1-41D;-;-;N_037_099_5;-;-;239;SW/BL;0,35;V.15A..SC_F09;x;12087;;;;
3;12088;ID_WIR176;ID_CON9;AIR_CU_E_1;3;1-41C;N_909_424_02;3B0_972_742_D;XA.U31.1;DIAG;15;1-31H;N_907_479_01;-;N_037_093_3;-;-;1468;RT;0,35;D.LDIAG..;x;12088;;;;
3;12089;ID_WIR178;ID_CON9;AIR_CU_E_1;4;1-41C;N_909_424_01;3B0_972_742_E;TSABVR.1C1;KS_SA_VR;2;1-46B;N_105_982_03;-;N_018_886_37;SL12030;2-bl;3011;BL;0,5;S.BAG_SBF+..SYS1S1;x;12089;;;;
3;12090;ID_WIR180;ID_CON9;AIR_CU_E_1;5;1-41C;N_909_424_01;3B0_972_742_E;TSABVR.1C1;KS_SA_VR;1;1-46B;N_105_982_03;-;N_018_886_37;SL12030;1-ws;3011;WS;0,5;S.BAG_SBF-..SYS1S1;x;12090;;;;
3;12091;ID_WIR182;ID_CON9;AIR_CU_E_1;6;1-41C;N_909_424_01;3B0_972_742_E;TSABVL.1C1;KS_SA_VL;1;1-44H;N_105_982_03;-;N_018_886_36;SL12031;1-ws;2817;WS;0,5;S.BAG_SF-..SYS1S1;x;12091;;;;
3;12092;ID_WIR184;ID_CON9;AIR_CU_E_1;7;1-41C;N_909_424_01;3B0_972_742_E;TSABVL.1C1;KS_SA_VL;2;1-44H;N_105_982_03;-;N_018_886_36;SL12031;2-gn;2817;GN;0,5;S.BAG_SF+..SYS1S1;x;12092;;;;
3;12093;ID_WIR186;ID_CON9;AIR_CU_E_1;8;1-41C;N_909_424_01;3B0_972_742_E;XA.N131.7;AM_BF;2;1-37B;-;-;ZSB_KT_1_121;SL12032;1-gr;1546;GR;0,5;S.ABBF+..SYS1S1;x;12093;;;;
3;12094;ID_WIR188;ID_CON9;AIR_CU_E_1;9;1-41C;N_909_424_01;3B0_972_742_E;XA.N131.7;AM_BF;1;1-37B;-;-;ZSB_KT_1_121;SL12032;2-bl;1546;BL;0,5;S.ABBF-..SYS1S1;x;12094;;;;
3;12095;ID_WIR190;312;SP_31_SA;1;1-39D;-;-;XA.N131.7;AM_BF;3;1-37B;-;-;ZSB_KT_1_121;-;-;1140;BR;0,5;M.31-SM..SYS1S1;x;12095;;;;
3;12096;ID_WIR192;ID_CON9;AIR_CU_E_1;10;1-41C;N_909_424_01;3B0_972_742_E;XC.E595.3;LSS_C;6;1-40F;N_907_649_03;-;N_018_886_52;SL12033;1-ws;1746;WS;0,5;S.ABF-..;x;12096;;;;
3;12097;ID_WIR194;ID_CON9;AIR_CU_E_1;11;1-41C;N_909_424_01;3B0_972_742_E;XC.E595.3;LSS_C;5;1-40F;N_907_649_03;-;N_018_886_52;SL12033;2-ws/sw;1746;WS/SW;0,5;S.ABF+..;x;12097;;;;
3;12098;ID_WIR196;ID_CON9;AIR_CU_E_1;12;1-41C;N_909_424_01;3B0_972_742_E;ID_CON19;ABKR;2;1-52G;-;-;N_018_886_33;SL12046;1-gn;3715;GN;0,5;S.BAG_KVF+..7;x;12098;;;;
3;12099;ID_WIR198;ID_CON9;AIR_CU_E_1;13;1-41C;N_909_424_01;3B0_972_742_E;ID_CON19;ABKR;1;1-52G;-;-;N_018_886_33;SL12046;2-bl;3715;BL;0,5;S.BAG_KVF-..7;x;12099;;;;
3;12100;ID_WIR200;ID_CON9;AIR_CU_E_1;14;1-41C;N_909_424_01;3B0_972_742_E;ID_CON10;ABKL;1;1-45E;-;-;N_018_886_22;SL12047;2-ws;2665;WS;0,5;S.BAG_KVF-..7;x;12100;;;;
3;12101;ID_WIR202;ID_CON9;AIR_CU_E_1;15;1-41C;N_909_424_01;3B0_972_742_E;ID_CON10;ABKL;2;1-45E;-;-;N_018_886_22;SL12047;1-ge;2665;GE;0,5;S.BAG_KVF+..7;x;12101;;;;
3;12102;ID_WIR204;ID_CON9;AIR_CU_E_1;16;1-41C;N_909_424_01;3B0_972_742_E;XA.N154.7;GST_VR1;2;1-49C;-;-;ZSB_KT_4_121;SL12034;2-sw;3474;SW;0,5;S.BAG_GSBF+..SYS1S1;x;12102;;;;
