1;LEITUNGSSTRANG
2;V1;12E_970_000_K;L0L;3727 (g);~;CU: 1496 (g);Al: 0 (g)
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.
3;22;M.31..MB_K-M7_C1_96_1_5;96;SP_31C7_1;1;1-35J;-;-;XA.J519.3;BCM_A;14;1-29F;N_105_115_01;-;N_037_048_8;-;-;472;BR;2,5;M.31..MB_K-M7_C1;x;22
3;23;M.31..MB_K-M9_A1.1_TDIAG.1A1_4_1;TDIAG.1A1;DIAG;4;1-30J;N_907_479_01;-;B159;SP_31BA2;1;1-35D;-;-;N_037_098_8;-;-;751;BR;0,35;M.31..MB_K-M9_A1.1;x;23
3;24;M.31..MB_K-M9_A1.1_TDIAG.1A1_5_1;TDIAG.1A1;DIAG;5;1-30J;N_907_479_01;-;B159;SP_31BA2;1;1-35D;-;-;N_037_098_8;-;-;751;BR;0,35;M.31..MB_K-M9_A1.1;x;24
3;25;M.31..MB_K-M7_E1_XE.44.1_1_1;XE.44.1;MB_7_5;1;1-39H;N_017_516_5;-;L78;SP_31_LIN_K;1;1-38F;-;-;N_037_048_8;-;-;1108;BR;2,5;M.31..MB_K-M7_E1;x;25
3;26;M.31..MB_K-M7_B1_XB.44.1_1_1;XB.44.1;MB_7_2;1;1-40J;N_017_506_3;-;XB.J519.3;BCM_B;60;1-32G;N_907_649_01;-;N_037_008_8;-;-;1000;BR;0,5;M.31..MB_K-M7_B1;x;26
3;27;V.RFL.._XB.J519.3_12_1;XB.J519.3;BCM_B;12;1-32G;N_105_114_01;-;U14;SP_RFL;1;1-35C;-;-;N_037_009_5;-;-;1023;SW/BL;0,5;V.RFL..;x;27
3;28;V.15A..SC_F05_Z40_1_1;Z40;SP_15A_GRA;1;1-40F;-;-;XA.J519.3;BCM_A;44;1-29F;N_907_647_01;-;N_037_099_5;-;-;621;SW/BL;0,35;V.15A..SC_F05;x;28
3;29;V.30A..SC_F50_XA.SC.1_50A_1;XA.SC.1;SITR;50A;1-30H;N_907_327_01;-;XB.J519.3;BCM_B;11;1-32G;N_105_115_01;-;N_037_033_0;-;-;492;RT/WS;1,5;V.30A..SC_F50;x;29
3;30;V.30A..SA_D1_P3_1_7;P3;SP_30_04;1;1-31H;-;-;XA.SC.1;SITR;50B;1-30H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;30
3;31;M.31..MB_K-M7_C1_96_1_4;96;SP_31C7_1;1;1-35J;-;-;TTVL.1A1;KS_TVL;24;1-35J;N_103_190_01;-;N_037_048_8;-;-;190;BR;2,5;M.31..MB_K-M7_C1;x;31
3;32;M.31..MB_K-M9_A1.1_B445_1_3;B445;SP_31BA1;1;1-41A;-;-;TTVR.1A1;KS_TVR;24;1-35A;N_103_190_01;-;N_037_048_8;-;-;416;BR;2,5;M.31..MB_K-M9_A1.1;x;32
3;33;S.KMM.._XA.G32.3_1_1;XA.G32.3;KAB;1;1-8J;N_906_844_02;357_972_741;XA.K.1;KI;18;1-36H;N_907_649_01;-;N_037_005_3;-;-;2143;BL/RT;0,5;S.KMM..;x;33
3;34;S.HB-Sig.._XA.F321.1_1_1;XA.F321.1;HBKS;1;1-46D;N_103_357_01;-;XA.K.1;KI;25;1-36H;N_907_647_01;-;N_037_095_9;-;-;2082;BL/SW;0,35;S.HB-Sig..;x;34
3;35;M.31..MB_K-M7_A1_190_1_3;190;SP_31A7_4;1;1-37D;-;-;XA.F321.1;HBKS;2;1-46D;N_103_358_01;-;N_037_008_8;-;-;1189;BR;0,5;M.31..MB_K-M7_A1;x;35
3;36;M.31..MB_K-M7_C1_136_1_5;136;SP_31C7_2;1;1-35F;-;-;XA.J1125.1;R_KL75;2;1-33H;N_105_116_01;-;N_037_098_8;-;-;371;BR;0,35;M.31..MB_K-M7_C1;x;36
3;37;S.50_ZAS.._B3_1_1;B3;SP_50;1;1-33G;-;-;XB.J519.3;BCM_B;50;1-32G;N_907_649_01;-;N_037_013_9;-;-;85;RT/SW;0,75;S.50_ZAS..;x;37
3;38;S.ZSS.._A109_1_2;A109;SP_P_E;1;1-33G;-;-;XA.N334.1;SPST;2;1-43F;N_907_649_01;-;N_037_007_5;-;-;748;GR/BL;0,5;S.ZSS..;x;38
3;39;V.30A..SD_F03_XA.N334.1_1_1;XA.N334.1;SPST;1;1-43F;N_907_649_01;-;XA.SD.1;SITR_3;3A;1-37E;N_907_326_01;-;N_037_003_5;-;-;719;RT/BL;0,5;V.30A..SD_F03;x;39
3;40;M.31-SM.._A73_1_2;A73;SP_31_SM;1;1-36G;-;-;XA.G17.1;ATF;1;1-10D;N_105_112_03;357_972_740_E;N_037_008_0;-;-;2017;BR/WS;0,5;M.31-SM..;x;40
3;41;S.ATS.._XA.G17.1_2_1;XA.G17.1;ATF;2;1-10D;N_105_112_03;357_972_740_E;XA.K.1;KI;19;1-36H;N_907_649_01;-;N_037_008_1;-;-;2419;BR/GE;0,5;S.ATS..;x;41
3;42;V.30A..SA_D1_P1_1_3;P1;SP_30_02;1;1-31H;-;-;XA.SD.1;SITR_3;2;1-37E;N_907_327_01;-;N_037_043_3;-;-;525;RT;2,5;V.30A..SA_D1;x;42
3;43;V.30A..SA_D1_P1_1_6;P1;SP_30_02;1;1-31H;-;-;XA.SD.1;SITR_3;3;1-37E;N_907_327_01;-;N_037_043_3;-;-;525;RT;2,5;V.30A..SA_D1;x;43
3;44;M.31..MB_K-M7_A1_192_1_2;192;SP_31A7_1;1;1-37J;-;-;XA.44.1;MB_7_1;1;1-40H;N_017_526_2;-;N_037_058_8;-;-;298;BR;4;M.31..MB_K-M7_A1;x;44
3;45;M.31..MB_K-M7_A1_191_1_4;191;SP_31A7_2;1;1-35E;-;-;192;SP_31A7_1;1;1-37J;-;-;N_037_038_8;-;-;776;BR;1,5;M.31..MB_K-M7_A1;x;45
3;46;M.31..MB_K-M7_A1_190_1_4;190;SP_31A7_4;1;1-37D;-;-;192;SP_31A7_1;1;1-37J;-;-;N_037_048_8;-;-;1013;BR;2,5;M.31..MB_K-M7_A1;x;46
3;47;V.30A..SA_D1_XD.SA.4_1_1;XD.SA.4;HSB_D1;1;1-20H;N_907_619_01;-;A32;SP_30_21;1;1-27F;-;-;N_903_231_02;-;-;873;RT;16;V.30A..SA_D1;x;47
3;48;V.30A..SA_D1_XA.J1125.1_3_1;XA.J1125.1;R_KL75;3;1-33H;N_907_572_01;-;P2;SP_30_11;1;1-35F;-;-;N_037_063_3;-;-;210;RT;6;V.30A..SA_D1;x;48
3;49;M.31-SM.._A73_1_3;A73;SP_31_SM;1;1-36G;-;-;XA.G32.3;KAB;2;1-8J;N_906_844_02;357_972_741;N_037_008_0;-;-;1742;BR/WS;0,5;M.31-SM..;x;49
3;50;M.31-SM.._A73_1_1;A73;SP_31_SM;1;1-36G;-;-;XA.K.1;KI;20;1-36H;N_907_647_01;-;N_037_098_0;-;-;422;BR/WS;0,35;M.31-SM..;x;50
3;51;M.31..MB_K-M9_A1.1_B445_1_4;B445;SP_31BA1;1;1-41A;-;-;XA.43.1;MB_9_1;1;1-43B;N_017_526_2;-;N_037_058_8;-;-;280;BR;4;M.31..MB_K-M9_A1.1;x;51
3;52;M.31..MB_K-M9_A1.1_B159_1_2;B159;SP_31BA2;1;1-35D;-;-;B445;SP_31BA1;1;1-41A;-;-;N_037_038_8;-;-;1156;BR;1,5;M.31..MB_K-M9_A1.1;x;52
3;53;M.31..MB_K-M7_D1_XA.J519.3_70_1;XA.J519.3;BCM_A;70;1-29F;N_105_115_01;-;A102;SP_31D7_1;1;1-31F;-;-;N_037_048_8;-;-;133;BR;2,5;M.31..MB_K-M7_D1;x;53
3;54;M.31..MB_K-M12_A1_260_1_10;260;SP_31H;1;1-55J;-;-;XA.729.1;MB_12_1;1;1-52H;N_017_516_5;-;N_037_048_8;-;-;406;BR;2,5;M.31..MB_K-M12_A1;x;54
3;55;S.WW.._XA.V59.1_2_1;XA.V59.1;WWP;2;1-8F;N_105_114_03;357_972_741;B183;SP_WW;1;1-37F;-;-;N_037_016_0;-;-;1886;GN/WS;0,75;S.WW..;x;55
3;56;V.87A..74_75_XA.J1125.1_5_1;XA.J1125.1;R_KL75;5;1-33H;N_907_572_01;-;A145;SP_75_2;1;1-35G;-;-;N_037_069_1;-;-;315;SW/GE;6;V.87A..74_75;x;56
3;57;S.53c..SC_F25_XA.SC.1_25A_1;XA.SC.1;SITR;25A;1-30H;N_906_844_01;-;XA.V59.1;WWP;1;1-8F;N_105_114_03;357_972_741;N_037_005_1;-;-;2089;BL/GE;0,5;S.53c..SC_F25;x;57
3;58;S.53c..LSS_B184_1_2;B184;SP_LSSW;1;1-35G;-;-;XA.SC.1;SITR;25B;1-30H;N_906_844_01;-;N_037_016_3;-;-;488;GN/RT;0,75;S.53c..LSS;x;58
3;59;V.15A..SC_F02_TDIAG.1A1_1_1;TDIAG.1A1;DIAG;1;1-30J;N_907_479_01;-;B444;SP_15A_VK;1;1-35E;-;-;N_037_009_5;-;-;668;SW/BL;0,5;V.15A..SC_F02;x;59
3;60;V.30A..SC_F28_XA.SC.1_28A_1;XA.SC.1;SITR;28A;1-30H;N_906_844_01;-;TDIAG.1A1;DIAG;16;1-30J;N_907_479_01;-;N_037_003_0;-;-;193;RT/WS;0,5;V.30A..SC_F28;x;60
3;61;V.30A..SC_F27_XA.SC.1_27A_1;XA.SC.1;SITR;27A;1-30H;N_906_843_01;-;XA.J519.3;BCM_A;66;1-29F;N_105_113_01;-;N_037_093_4;-;-;435;RT/VI;0,35;V.30A..SC_F27;x;61
3;62;S.53c..LSS_B184_1_1;B184;SP_LSSW;1;1-35G;-;-;XB.J519.3;BCM_B;61;1-32G;N_907_649_01;-;N_037_006_3;-;-;427;GN/RT;0,5;S.53c..LSS;x;62
3;63;V.30A..SA_D1_P4_1_5;P4;SP_30_01;1;1-31H;-;-;XA.SC.1;SITR;26B;1-30H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;63
3;64;V.30A..SA_D1_P4_1_4;P4;SP_30_01;1;1-31H;-;-;XA.SC.1;SITR;27B;1-30H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;64
3;65;V.30A..SA_D1_P4_1_6;P4;SP_30_01;1;1-31H;-;-;XA.SC.1;SITR;28B;1-30H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;65
3;66;V.30A..SA_D1_P4_1_3;P4;SP_30_01;1;1-31H;-;-;XA.SC.1;SITR;29B;1-30H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;66
3;67;V.30A..SA_D1_P1_1_5;P1;SP_30_02;1;1-31H;-;-;XA.SC.1;SITR;32B;1-30H;N_906_845_01;-;N_037_033_3;-;-;178;RT;1,5;V.30A..SA_D1;x;67
3;68;V.30A..SA_D1_P3_1_6;P3;SP_30_04;1;1-31H;-;-;XA.SC.1;SITR;48B;1-30H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;68
3;69;V.30A..SC_F26_493_1_2;493;SP_30A_KI;1;1-36G;-;-;XA.SC.1;SITR;26A;1-30H;N_906_843_01;-;N_037_093_1;-;-;462;RT/GE;0,35;V.30A..SC_F26;x;69
3;70;V.15..ZAS_E1_A192_1_4;A192;SP_15_07;1;1-39F;-;-;XA.SC.1;SITR;16B;1-30H;N_906_845_01;-;N_037_039_9;-;-;664;SW;1,5;V.15..ZAS_E1;x;70
3;71;V.15..ZAS_E1_A38_1_3;A38;SP_15_05;1;1-40F;-;-;XA.SC.1;SITR;2B;1-30H;N_906_845_01;-;N_037_039_9;-;-;694;SW;1,5;V.15..ZAS_E1;x;71
3;72;V.15..ZAS_E1_A38_1_5;A38;SP_15_05;1;1-40F;-;-;XA.SC.1;SITR;5B;1-30H;N_906_845_01;-;N_037_039_9;-;-;694;SW;1,5;V.15..ZAS_E1;x;72
3;73;V.15..ZAS_E1_A38_1_4;A38;SP_15_05;1;1-40F;-;-;XA.SC.1;SITR;1B;1-30H;N_906_845_01;-;N_037_039_9;-;-;694;SW;1,5;V.15..ZAS_E1;x;73
3;74;V.15_SIG.._XA.K.1_31_1;XA.K.1;KI;31;1-36H;N_907_647_01;-;E23;SP_15A_MSG;1;1-36G;-;-;N_037_099_5;-;-;401;SW/BL;0,35;V.15_SIG..;x;74
3;75;V.15A..SC_F05_Z40_1_2;Z40;SP_15A_GRA;1;1-40F;-;-;XA.SC.1;SITR;5A;1-30H;N_906_843_01;-;N_037_099_5;-;-;740;SW/BL;0,35;V.15A..SC_F05;x;75
3;76;V.15A..SC_F02_XA.SC.1_2A_1;XA.SC.1;SITR;2A;1-30H;N_906_844_01;-;B444;SP_15A_VK;1;1-35E;-;-;N_037_009_5;-;-;612;SW/BL;0,5;V.15A..SC_F02;x;76
3;77;V.15A..SC_F01_XA.SC.1_1A_1;XA.SC.1;SITR;1A;1-30H;N_906_843_01;-;E23;SP_15A_MSG;1;1-36G;-;-;N_037_099_5;-;-;442;SW/BL;0,35;V.15A..SC_F01;x;77
3;78;V.30A..SA_D1_P3_1_5;P3;SP_30_04;1;1-31H;-;-;XA.SC.1;SITR;49B;1-30H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;78
3;79;V.15A..SC_F16_XA.SC.1_16A_1;XA.SC.1;SITR;16A;1-30H;N_906_843_01;-;B13;SP_15A_S;1;1-34E;-;-;N_037_098_6;-;-;675;BR/GN;0,35;V.15A..SC_F16;x;79
3;80;O.WWL_V.._XW.V59.1_1_1;XW.V59.1;WL_DWP;1;1-9G;-;-;261;SP_WASSERLTG;1;1-27G;-;-;ZSB_KT_WL_V;-;-;2338;SW;6;O.WWL_V..;x;80
3;81;O.WWL_V.._XW.ZZ3.1_1_1;XW.ZZ3.1;WL_SPDL;1;1-27F;-;-;261;SP_WASSERLTG;1;1-27G;-;-;ZSB_KT_WL_V;-;-;171;SW;6;O.WWL_V..;x;81
