1;LEITUNGSSTRANG;;;;;;;;;;;;;;
3;Sicherung Type_F 10A;ID_ACC16;-;S_SITR_28;1-30H;N_102_615_03;-;SITR;rot;Stk.;1;;;;
3;Sicherung Type_F 7.5A;ID_ACC17;-;S_SITR_29;1-30H;N_102_615_02;-;SITR;braun;Stk.;1;;;;
3;Sicherung Type_F 10A;ID_ACC18;-;S_SITR_25;1-30H;N_102_615_03;-;SITR;rot;Stk.;1;;;;
3;Sicherung Type_F 15A;ID_ACC19;-;S_SITR_14;1-30G;N_102_615_07;-;SITR;hellblau;Stk.;1;;;;
3;Sicherung Type_F 15A;ID_ACC20;-;S_SITR_17;1-30H;N_102_615_07;-;SITR;hellblau;Stk.;1;;;;
3;Sicherung Type_C 20A;ID_ACC21;-;S_SITR_36;1-30G;N_017_131_13;-;SITR;gelb;Stk.;1;;;;
3;Sicherung Type_C 30A;ID_ACC22;-;S_SITR_46;1-30G;N_017_131_15;-;SITR;hellgruen;Stk.;1;;;;
3;Sicherung Type_C 20A;ID_ACC23;-;S_SITR_41;1-30G;N_017_131_13;-;SITR;gelb;Stk.;1;;;;
3;Sicherung Type_C 20A;ID_ACC24;-;S_SITR_48;1-30G;N_017_131_13;-;SITR;gelb;Stk.;1;;;;
3;Sicherung Type_C 30A;ID_ACC25;-;S_SITR_49;1-30G;N_017_131_15;-;SITR;hellgruen;Stk.;1;;;;
3;Sicherung Type_C 20A;ID_ACC26;-;S_SITR_50;1-30G;N_017_131_13;-;SITR;gelb;Stk.;1;;;;
3;Sicherung Type_C 30A;ID_ACC6;-;S_SITR_3_12;1-37E;N_017_131_15;-;SITR_3;hellgruen;Stk.;1;;;;
3;Sicherung Type_C 7.5A;ID_ACC7;-;S_SITR_3_03;1-37E;N_017_131_18;-;SITR_3;braun;Stk.;1;;;;
3;Sicherung Type_C 15A;ID_ACC8;-;S_SITR_3_09;1-37E;N_017_131_12;-;SITR_3;hellblau;Stk.;1;;;;
3;Sicherung Type_C 15A;ID_ACC9;-;S_SITR_3_10;1-37E;N_017_131_12;-;SITR_3;hellblau;Stk.;1;;;;
3;Sicherung Type_C 30A;ID_ACC73;-;S_SITR_3_02;1-37E;N_017_131_15;-;SITR_3;hellgruen;Stk.;1;;;;
3;Halter_Sicherungstraeger;KH_SITR3;-;KH_SITR3;1-37E;1S0_915_346_A;-;SITR_3;-;Stk.;1;;;;
3;Dummy Connector Shell;L_01;-;L_01;1-37E;12E_010_867_Q;-;SITR_3;-;Stk.;1;;;;
3;STECKGEHAEUSE_3-POLIG;XA.U1.1;Zigarettenanzünder;ZIG;1-44D;1J0_919_321;-;-;natur;Stk.;1;;;;
3;Steckergehause_OBD2;XA.U31.1;Anschluß für Diagnose;DIAG;1-31H;3A0_972_695_A;-;-;schwarz;Stk.;1;;;;
3;Halter, Aufnahme;KH_DIAG;-;KH_DIAG;1-31H;1S0_907_461_A;-;DIAG;-;Stk.;1;;;;
3;Pinza;KH_MW;-;KH_MW;1-31H;8D0_941_802;-;DIAG;-;Stk.;1;;;;
3;BUCHSENGEH_2POL_SCHWARZ;XA.V59.1;Frontscheibenwasch- und Heckscheibenwaschpumpe;WWP;1-9F;8P0_973_722;-;-;schwarz;Stk.;1;;;;
4;Blindstopfen;-;-;-;-;357_972_841;-;WWP;-;Stk.;X;;;;
3;ZSB Gehaeuse;XB.E595.3;Lenkstockkombinationsschalter;LSS_B;1-42F;5C0_971_974;-;-;schwarz;Stk.;1;;;;
3;FLACHKONTAKTGEHAEUSE_73POL_KOD2;XB.J519.3;Bordnetzsteuergerät;BCM_B;1-33G;6R0_937_700_A;-;-;natur;Stk.;1;;;;
3;BUCHSENGEH_SCHWARZ_16_POL_KOD_I;XC.E595.3;Lenkstockkombinationsschalter;LSS_C;1-40F;1K0_972_928;TAB_016_006_BM;-;schwarz;Stk.;1;;;;
3;Kastenkontaktgehaeuse Kod 1;XE.E595.3;Lenkstockkombinationsschalter;LSS_E;1-40F;6RA_971_975;-;-;schwarz;Stk.;1;;;;
3;einzeln steckbare Kontakte;XJ.SA.4;Sicherungshalter A;HSB;1-20G;12E_937_548;-;-;schwarz;Stk.;1;;;;
4;Blindstopfen;-;-;-;-;357_972_842;-;HSB;-;Stk.;X;;;;
3;Sicherung Type_C 30A;ID_ACC3;-;S_HSB_J6;1-20F;N_017_131_15;-;HSB;hellgruen;Stk.;1;;;;
3;Sicherung Type_C 7.5A;ID_ACC4;-;S_HSB_J3;1-20F;N_017_131_18;-;HSB;braun;Stk.;1;;;;
3;KABELBINDER_4.6X200;KB_17;-;KB_17;1-22G;N_909_377_01;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER_LKC2;CL_6;-;CL_6;1-21C;3D0_971_838_A;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER;CL_8;-;CL_8;1-19B;3D0_971_838_N;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER_LKC2;CL_10;-;CL_10;1-22C;3D0_971_838_A;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER_AUSSENVERZAHNT_GEDICHTET;CL_11;-;CL_11;1-22C;3D0_971_818;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER_LKC2;CL_12;-;CL_12;1-22D;3D0_971_838_A;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER_LKC2;CL_13;-;CL_13;1-22E;3D0_971_838_A;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER;CL_20;-;CL_20;1-16H;3D0_971_838_N;-;-;-;Stk.;1;;;;
3;KABELBINDER_SOCKEL_KABELBINDER_6.50X160.00;CL_21;-;CL_21;1-11F;4F2_721_663;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER;CL_22;-;CL_22;1-11G;3D0_971_838_N;-;-;-;Stk.;1;;;;
3;CLIP;CL_23;-;CL_23;1-11H;1H0_971_848_L;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER_LKC2;CL_29;-;CL_29;1-13H;3D0_971_838_A;-;-;-;Stk.;1;;;;
3;KABELHALTER_SCHWARZ;CL_30;-;CL_30;1-25G;N_911_159_01;-;-;-;Stk.;1;;;;
3;KABELBINDER_SOCKEL_KABELBINDER_6.50X160.00;CL_32;-;CL_32;1-20C;4F2_721_663;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER_LKC2;CL_38;-;CL_38;1-23G;3D0_971_838_A;-;-;-;Stk.;1;;;;
3;SOCKELKABELBINDER;CL_53;-;CL_53;1-18H;6Q0_971_838_C;-;-;-;Stk.;1;;;;
3;LEITUNGSCLIP LOCHBEFESTIGUNG 6,5;CL_61;-;CL_61;1-11H;1C0_971_848;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER;CL_101;-;CL_101;1-36H;3D0_971_497_D;-;-;-;Stk.;1;;;;
3;KABELBINDER_SOCKEL_KABELBINDER_6.50X160.00;CL_102;-;CL_102;1-38D;4F2_721_663;-;-;-;Stk.;1;;;;
3;CLIP;CL_103;-;CL_103;1-40D;1H0_971_848_L;-;-;-;Stk.;1;;;;
3;KABELFUEHRUNG;CL_107;-;CL_107;1-35D;6X0_971_615;-;-;-;Stk.;1;;;;
3;SOCKELKABELBINDER;CL_108;-;CL_108;1-35C;6Q0_971_838_C;-;-;-;Stk.;1;;;;
3;SOCKELKABELBINDER;CL_109;-;CL_109;1-35B;6Q0_971_838_C;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER;CL_111;-;CL_111;1-39F;3D0_971_838_M;-;-;-;Stk.;1;;;;
3;KABELHALTER;CL_112;-;CL_112;1-35F;4B0_971_848;-;-;-;Stk.;1;;;;
3;KABELBINDER_BOLZENBEFESTIGUNG;CL_118;-;CL_118;1-43E;1J0_971_838_A;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER;CL_122;-;CL_122;1-35A;3D0_971_838_M;-;-;-;Stk.;1;;;;
3;KABELCLIP;CL_124;-;CL_124;1-41D;N_911_443_01;-;-;-;Stk.;1;;;;
3;KABELCLIP;CL_125;-;CL_125;1-43D;7L6_971_848;-;-;-;Stk.;1;;;;
3;KABELBINDER_SOCKEL_KABELBINDER_6.50X160.00;CL_201;-;CL_201;1-37H;4F2_721_663;-;-;-;Stk.;1;;;;
3;KABELBINDER_SOCKEL_KABELBINDER_6.50X160.00;CL_202;-;CL_202;1-41A;4F2_721_663;-;-;-;Stk.;1;;;;
3;Kabelhalter;CL_301;-;CL_301;1-40G;5E0_971_847;-;-;-;Stk.;1;;;;
3;Kabelhalter;CL_302;-;CL_302;1-40G;5E0_971_847;-;-;-;Stk.;1;;;;
3;LEITUNGSCLIP LOCHBEFESTIGUNG 6,5;CL_303;-;CL_303;1-42G;1C0_971_848;-;-;-;Stk.;1;;;;
3;LEITUNGSCLIP LOCHBEFESTIGUNG 6,5;CL_312;-;CL_312;1-41G;1C0_971_848;-;-;-;Stk.;1;;;;
3;KABELHALTER_SCHWARZ;CL_426;-;CL_426;1-55H;N_911_159_01;-;-;-;Stk.;1;;;;
3;KABELBINDER_SOCKEL_KABELBINDER_6.50X160.00;ID_FIX19;-;CL_369;1-56G;4F2_721_663;-;-;-;Stk.;1;;;;
3;KABELBINDER_SOCKEL_KABELBINDER_6.50X160.00;ID_FIX21;-;CL_371;1-56D;4F2_721_663;-;-;-;Stk.;1;;;;
3;KABELHALTER;ID_FIX30;-;CL_375;1-56F;1T0_971_930_F;-;-;-;Stk.;1;;;;
3;SOCKEL_KABELBINDER;ID_FIX34;-;CL_376;1-56G;3D0_971_497_D;-;-;-;Stk.;1;;;;
3;KABELBINDER_C4.6X377;KB_18;-;KB_18;1-35G;N_106_622_01;-;-;-;Stk.;1;;;;
